"dateRi" "TT_TER" "group_letter" "value" "size" "group"
1978-01-01 3.93333333333333 "A" NA 1.1 4
1978-01-01 3.93333333333333 "P" NA 1.1 2
1978-01-01 3.93333333333333 "R" NA 1.1 3
1978-01-01 3.93333333333333 "M" NA 1.1 1
1978-01-02 5.46666666666667 "A" NA 1.1 4
1978-01-02 5.46666666666667 "P" NA 1.1 2
1978-01-02 5.46666666666667 "R" NA 1.1 3
1978-01-02 5.46666666666667 "M" NA 1.1 1
1978-01-03 4.46666666666667 "A" NA 1.1 4
1978-01-03 4.46666666666667 "P" NA 1.1 2
1978-01-03 4.46666666666667 "R" NA 1.1 3
1978-01-03 4.46666666666667 "M" NA 1.1 1
1978-01-04 2.06666666666667 "A" NA 1.1 4
1978-01-04 2.06666666666667 "P" NA 1.1 2
1978-01-04 2.06666666666667 "R" NA 1.1 3
1978-01-04 2.06666666666667 "M" NA 1.1 1
1978-01-05 -2.53333333333333 "A" NA 1.1 4
1978-01-05 -2.53333333333333 "P" NA 1.1 2
1978-01-05 -2.53333333333333 "R" NA 1.1 3
1978-01-05 -2.53333333333333 "M" NA 1.1 1
1978-01-06 -0.133333333333333 "A" NA 1.1 4
1978-01-06 -0.133333333333333 "P" NA 1.1 2
1978-01-06 -0.133333333333333 "R" NA 1.1 3
1978-01-06 -0.133333333333333 "M" NA 1.1 1
1978-01-07 1.93333333333333 "A" NA 1.1 4
1978-01-07 1.93333333333333 "P" NA 1.1 2
1978-01-07 1.93333333333333 "R" NA 1.1 3
1978-01-07 1.93333333333333 "M" NA 1.1 1
1978-01-08 0.3 "A" NA 1.1 4
1978-01-08 0.3 "P" NA 1.1 2
1978-01-08 0.3 "R" NA 1.1 3
1978-01-08 0.3 "M" NA 1.1 1
1978-01-09 2.8 "A" NA 1.1 4
1978-01-09 2.8 "P" NA 1.1 2
1978-01-09 2.8 "R" NA 1.1 3
1978-01-09 2.8 "M" NA 1.1 1
1978-01-10 4.03333333333333 "A" NA 1.1 4
1978-01-10 4.03333333333333 "P" NA 1.1 2
1978-01-10 4.03333333333333 "R" NA 1.1 3
1978-01-10 4.03333333333333 "M" NA 1.1 1
1978-01-11 4.76666666666667 "A" NA 1.1 4
1978-01-11 4.76666666666667 "P" NA 1.1 2
1978-01-11 4.76666666666667 "R" NA 1.1 3
1978-01-11 4.76666666666667 "M" NA 1.1 1
1978-01-12 3.53333333333333 "A" NA 1.1 4
1978-01-12 3.53333333333333 "P" NA 1.1 2
1978-01-12 3.53333333333333 "R" NA 1.1 3
1978-01-12 3.53333333333333 "M" NA 1.1 1
1978-01-13 3.73333333333333 "A" NA 1.1 4
1978-01-13 3.73333333333333 "P" NA 1.1 2
1978-01-13 3.73333333333333 "R" NA 1.1 3
1978-01-13 3.73333333333333 "M" NA 1.1 1
1978-01-14 2.7 "A" NA 1.1 4
1978-01-14 2.7 "P" NA 1.1 2
1978-01-14 2.7 "R" NA 1.1 3
1978-01-14 2.7 "M" NA 1.1 1
1978-01-15 1.66666666666667 "A" NA 1.1 4
1978-01-15 1.66666666666667 "P" NA 1.1 2
1978-01-15 1.66666666666667 "R" NA 1.1 3
1978-01-15 1.66666666666667 "M" NA 1.1 1
1978-01-16 0.933333333333333 "A" NA 1.1 4
1978-01-16 0.933333333333333 "P" NA 1.1 2
1978-01-16 0.933333333333333 "R" NA 1.1 3
1978-01-16 0.933333333333333 "M" NA 1.1 1
1978-01-17 -0.9 "A" NA 1.1 4
1978-01-17 -0.9 "P" NA 1.1 2
1978-01-17 -0.9 "R" NA 1.1 3
1978-01-17 -0.9 "M" NA 1.1 1
1978-01-18 1.83333333333333 "A" NA 1.1 4
1978-01-18 1.83333333333333 "P" NA 1.1 2
1978-01-18 1.83333333333333 "R" NA 1.1 3
1978-01-18 1.83333333333333 "M" NA 1.1 1
1978-01-19 0.566666666666667 "A" NA 1.1 4
1978-01-19 0.566666666666667 "P" NA 1.1 2
1978-01-19 0.566666666666667 "R" NA 1.1 3
1978-01-19 0.566666666666667 "M" NA 1.1 1
1978-01-20 2.3 "A" NA 1.1 4
1978-01-20 2.3 "P" NA 1.1 2
1978-01-20 2.3 "R" NA 1.1 3
1978-01-20 2.3 "M" NA 1.1 1
1978-01-21 0.4 "A" NA 1.1 4
1978-01-21 0.4 "P" NA 1.1 2
1978-01-21 0.4 "R" NA 1.1 3
1978-01-21 0.4 "M" NA 1.1 1
1978-01-22 1.33333333333333 "A" NA 1.1 4
1978-01-22 1.33333333333333 "P" NA 1.1 2
1978-01-22 1.33333333333333 "R" NA 1.1 3
1978-01-22 1.33333333333333 "M" NA 1.1 1
1978-01-23 1.8 "A" NA 1.1 4
1978-01-23 1.8 "P" NA 1.1 2
1978-01-23 1.8 "R" NA 1.1 3
1978-01-23 1.8 "M" NA 1.1 1
1978-01-24 5.46666666666667 "A" NA 1.1 4
1978-01-24 5.46666666666667 "P" NA 1.1 2
1978-01-24 5.46666666666667 "R" NA 1.1 3
1978-01-24 5.46666666666667 "M" NA 1.1 1
1978-01-25 4.56666666666667 "A" NA 1.1 4
1978-01-25 4.56666666666667 "P" NA 1.1 2
1978-01-25 4.56666666666667 "R" NA 1.1 3
1978-01-25 4.56666666666667 "M" NA 1.1 1
1978-01-26 2.66666666666667 "A" NA 1.1 4
1978-01-26 2.66666666666667 "P" NA 1.1 2
1978-01-26 2.66666666666667 "R" NA 1.1 3
1978-01-26 2.66666666666667 "M" NA 1.1 1
1978-01-27 2.9 "A" NA 1.1 4
1978-01-27 2.9 "P" NA 1.1 2
1978-01-27 2.9 "R" NA 1.1 3
1978-01-27 2.9 "M" NA 1.1 1
1978-01-28 4.23333333333333 "A" NA 1.1 4
1978-01-28 4.23333333333333 "P" NA 1.1 2
1978-01-28 4.23333333333333 "R" NA 1.1 3
1978-01-28 4.23333333333333 "M" NA 1.1 1
1978-01-29 4.76666666666667 "A" NA 1.1 4
1978-01-29 4.76666666666667 "P" NA 1.1 2
1978-01-29 4.76666666666667 "R" NA 1.1 3
1978-01-29 4.76666666666667 "M" NA 1.1 1
1978-01-30 3.03333333333333 "A" NA 1.1 4
1978-01-30 3.03333333333333 "P" NA 1.1 2
1978-01-30 3.03333333333333 "R" NA 1.1 3
1978-01-30 3.03333333333333 "M" NA 1.1 1
1978-01-31 1.7 "A" NA 1.1 4
1978-01-31 1.7 "P" NA 1.1 2
1978-01-31 1.7 "R" NA 1.1 3
1978-01-31 1.7 "M" NA 1.1 1
1978-02-01 0.5 "A" NA 1.1 4
1978-02-01 0.5 "P" NA 1.1 2
1978-02-01 0.5 "R" NA 1.1 3
1978-02-01 0.5 "M" NA 1.1 1
1978-02-02 2.86666666666667 "A" NA 1.1 4
1978-02-02 2.86666666666667 "P" NA 1.1 2
1978-02-02 2.86666666666667 "R" NA 1.1 3
1978-02-02 2.86666666666667 "M" NA 1.1 1
1978-02-03 1.26666666666667 "A" NA 1.1 4
1978-02-03 1.26666666666667 "P" NA 1.1 2
1978-02-03 1.26666666666667 "R" NA 1.1 3
1978-02-03 1.26666666666667 "M" NA 1.1 1
1978-02-04 1.46666666666667 "A" NA 1.1 4
1978-02-04 1.46666666666667 "P" NA 1.1 2
1978-02-04 1.46666666666667 "R" NA 1.1 3
1978-02-04 1.46666666666667 "M" NA 1.1 1
1978-02-05 -1.46666666666667 "A" NA 1.1 4
1978-02-05 -1.46666666666667 "P" NA 1.1 2
1978-02-05 -1.46666666666667 "R" NA 1.1 3
1978-02-05 -1.46666666666667 "M" NA 1.1 1
1978-02-06 0.166666666666667 "A" NA 1.1 4
1978-02-06 0.166666666666667 "P" NA 1.1 2
1978-02-06 0.166666666666667 "R" NA 1.1 3
1978-02-06 0.166666666666667 "M" NA 1.1 1
1978-02-07 -1 "A" NA 1.1 4
1978-02-07 -1 "P" NA 1.1 2
1978-02-07 -1 "R" NA 1.1 3
1978-02-07 -1 "M" NA 1.1 1
1978-02-08 -1.06666666666667 "A" NA 1.1 4
1978-02-08 -1.06666666666667 "P" NA 1.1 2
1978-02-08 -1.06666666666667 "R" NA 1.1 3
1978-02-08 -1.06666666666667 "M" NA 1.1 1
1978-02-09 -1.63333333333333 "A" NA 1.1 4
1978-02-09 -1.63333333333333 "P" NA 1.1 2
1978-02-09 -1.63333333333333 "R" NA 1.1 3
1978-02-09 -1.63333333333333 "M" NA 1.1 1
1978-02-10 -3.13333333333333 "A" NA 1.1 4
1978-02-10 -3.13333333333333 "P" NA 1.1 2
1978-02-10 -3.13333333333333 "R" NA 1.1 3
1978-02-10 -3.13333333333333 "M" NA 1.1 1
1978-02-11 -3.13333333333333 "A" NA 1.1 4
1978-02-11 -3.13333333333333 "P" NA 1.1 2
1978-02-11 -3.13333333333333 "R" NA 1.1 3
1978-02-11 -3.13333333333333 "M" NA 1.1 1
1978-02-12 -3.1 "A" NA 1.1 4
1978-02-12 -3.1 "P" NA 1.1 2
1978-02-12 -3.1 "R" NA 1.1 3
1978-02-12 -3.1 "M" NA 1.1 1
1978-02-13 -1.53333333333333 "A" NA 1.1 4
1978-02-13 -1.53333333333333 "P" NA 1.1 2
1978-02-13 -1.53333333333333 "R" NA 1.1 3
1978-02-13 -1.53333333333333 "M" NA 1.1 1
1978-02-14 -0.933333333333334 "A" NA 1.1 4
1978-02-14 -0.933333333333334 "P" NA 1.1 2
1978-02-14 -0.933333333333334 "R" NA 1.1 3
1978-02-14 -0.933333333333334 "M" NA 1.1 1
1978-02-15 -2.03333333333333 "A" NA 1.1 4
1978-02-15 -2.03333333333333 "P" NA 1.1 2
